,생장길이,줄기직경,개화군
0,208.0,6.9,16.67
1,172.0,6.8,17.33
2,150.0,9.3,16.0
3,121.0,5.9,16.2
4,175.0,5.8,17.4
5,155.0,5.3,18.17
6,195.0,8.2,17.0
7,165.0,10.5,17.0
8,125.0,4.2,18.25
9,198.0,6.5,17.6
10,141.0,9.2,17.8
11,230.0,8.2,6.1
12,250.0,12.8,7.4
13,200.0,10.5,6.1
14,140.0,10.0,7.0
15,150.0,10.5,7.4
16,160.0,13.3,6.7
17,290.0,7.5,8.4
18,180.0,9.0,6.8
19,210.0,9.8,8.7
20,230.0,8.2,6.0
21,250.0,8.7,6.0
22,300.0,8.0,7.0
23,180.0,8.0,6.0
24,170.0,9.2,6.0
25,220.0,3.8,8.0
26,200.0,4.6,7.0
27,230.0,5.7,9.7
28,210.0,4.5,8.4
29,220.0,7.7,6.7
30,240.0,4.5,8.0
31,190.0,7.0,6.0
32,220.0,7.5,7.4
33,190.0,7.2,9.0
34,200.0,7.7,6.7
35,190.0,5.5,6.0
36,200.0,7.5,8.3
37,6700.0,8.34,9.0
38,5200.0,10.89,7.3
39,7300.0,7.96,7.0
40,6800.0,10.52,5.7
41,257.0,7.12,4.7
42,271.0,9.05,4.0
43,258.0,6.97,3.3
44,237.0,7.16,2.7
45,194.0,7.22,0.0
46,236.0,7.86,0.0
47,170.0,4.58,2.0
48,220.0,2.56,2.0
49,220.0,5.87,2.0
50,230.0,4.53,1.6
51,223.0,3.9,2.0
52,203.0,7.86,1.0
53,220.0,7.61,1.0
54,180.0,7.55,2.0
55,200.0,6.21,1.0
56,170.0,7.74,1.6
57,190.0,7.72,2.0
58,120.0,9.0,6.3
59,160.0,10.0,6.3
60,140.0,8.8,7.0
61,340.0,8.0,6.7
62,220.0,8.1,7.1
63,210.0,7.0,7.3
64,220.0,9.6,7.4
65,0.0,5.0,0.2
66,0.0,4.0,0.2
67,0.0,5.0,0.4
68,0.0,6.0,0.2
69,315.0,5.6,1.1
70,280.0,6.1,1.3
71,295.0,9.7,1.3
72,305.0,9.3,3.9
73,352.0,12.0,4.2
74,268.0,8.0,4.4
75,285.0,10.9,4.6
76,272.0,4.8,5.4
77,242.0,4.9,6.5
78,203.0,7.9,6.9
79,250.0,6.2,7.1
80,235.0,5.8,5.1
81,232.0,10.9,5.7
82,151.0,7.4,6.9
83,49.0,10.8,7.2
84,29.0,12.0,6.9
85,31.0,6.8,3.7
86,34.0,8.8,7.2
87,41.0,12.2,0.0
88,35.0,11.3,0.0
89,168.0,10.1,0.0
90,105.0,7.3,0.0
91,143.0,11.0,0.0
92,85.0,7.8,0.0
93,130.0,7.0,0.0
94,73.0,6.7,0.0
95,187.0,10.3,15.5
96,125.0,8.2,12.2
97,153.0,14.2,12.4
98,76.0,8.6,11.3
99,152.0,11.4,13.3
100,253.0,10.4,13.4
101,90.0,7.9,12.5
102,0.0,10.6,5.4
103,0.0,10.9,6.4
104,0.0,8.4,8.8
105,0.0,10.6,7.5
106,180.0,9.5,6.4
107,0.0,11.2,5.7
108,230.0,10.2,7.2
109,80.0,11.4,6.4
110,70.0,10.0,7.7
111,200.0,9.15,7.1
112,160.0,13.8,7.1
113,180.0,10.7,7.4
114,180.0,8.0,8.1
115,160.0,11.6,7.3
116,220.0,8.5,8.0
117,210.0,9.8,7.4
118,190.0,10.8,7.7
119,90.0,9.5,8.6
120,120.0,14.0,7.3
121,250.0,8.2,6.0
122,320.0,6.8,7.0
123,330.0,3.4,8.0
124,330.0,5.2,6.0
125,230.0,5.1,8.0
126,170.0,6.3,7.0
127,240.0,3.6,8.0
128,240.0,8.4,6.0
129,180.0,3.5,8.0
130,160.0,4.0,7.0
131,170.0,6.0,7.0
132,180.0,5.0,7.0
133,0.0,0.0,0.0
134,0.0,0.0,0.0
135,0.0,0.0,0.0
136,990.0,12.0,2.0
137,1080.0,11.0,2.0
138,220.0,12.0,3.0
139,220.0,12.0,3.0
140,270.0,9.0,4.0
141,120.0,11.0,4.0
142,120.0,11.0,4.0
143,110.0,11.0,4.0
144,110.0,13.0,3.0
145,60.0,9.0,5.0
146,60.0,9.0,5.0
147,70.0,7.0,5.0
148,80.0,8.0,6.0
149,30.0,11.0,6.0
150,60.0,9.0,5.0
151,70.0,9.0,6.0
152,40.0,9.0,7.0
153,100.0,10.0,7.0
154,110.0,8.0,7.0
155,70.0,10.0,7.0
156,60.0,12.0,7.0
157,60.0,7.0,8.0
158,40.0,12.0,8.0
159,60.0,12.0,7.0
160,60.0,11.0,8.0
161,40.0,9.0,8.0
162,50.0,10.0,8.0
163,40.0,12.0,8.0
164,70.0,12.0,8.0
165,90.0,12.0,7.0
166,60.0,14.0,8.0
167,40.0,12.0,9.0
168,90.0,10.0,8.0
169,140.0,14.0,7.0
170,600.0,11.0,0.4
171,620.0,11.0,0.4
172,600.0,10.5,0.2
173,600.0,11.0,0.4
174,600.0,10.5,0.2
175,600.0,11.0,0.4
176,200.0,13.0,0.4
177,210.0,12.0,0.6
178,230.0,11.0,0.8
179,230.0,12.0,0.4
180,220.0,12.0,0.4
181,220.0,12.5,0.6
182,210.0,11.0,0.4
183,230.0,14.0,0.2
184,200.0,12.0,0.8
185,230.0,10.0,0.6
186,220.0,9.0,0.4
187,200.0,11.0,3.83
188,210.0,11.0,3.43
189,280.0,11.0,2.0
190,270.0,12.0,2.0
191,170.0,10.0,3.0
192,150.0,8.0,3.6
193,170.0,8.0,4.0
194,160.0,11.0,3.75
195,0.0,9.0,4.33
196,0.0,10.0,2.75
197,0.0,10.0,3.75
198,0.0,11.0,4.4
199,80.0,10.0,2.6
200,130.0,10.0,2.8
201,160.0,10.0,3.2
202,200.0,11.0,3.2
203,180.0,10.0,3.4
204,180.0,10.0,2.8
205,70.0,13.0,2.8
206,80.0,13.0,3.6
207,180.0,13.0,3.8
208,170.0,13.0,2.8
209,110.0,13.0,3.2
210,70.0,13.0,3.2
211,140.0,13.0,2.8
212,120.0,14.0,3.4
213,70.0,13.0,3.6
214,160.0,14.0,3.8
215,180.0,14.0,3.6
216,300.0,14.0,3.6
217,150.0,14.0,3.8
218,180.0,14.0,3.6
219,180.0,14.0,3.8
220,120.0,14.0,3.4
221,150.0,15.0,3.2
222,160.0,15.0,3.2
223,150.0,16.0,3.8
224,160.0,15.0,2.6
225,150.0,17.0,3.8
226,140.0,17.0,3.8
227,150.0,17.0,4.2
228,160.0,17.0,4.2
229,110.0,17.0,3.8
230,100.0,17.0,3.8
231,100.0,17.0,4.2
232,120.0,17.0,4.4
233,100.0,17.0,3.2
234,110.0,17.0,2.8
235,100.0,17.0,3.2
236,0.0,13.48,1.15
237,880.0,13.51,1.0
238,930.0,11.31,1.0
239,950.0,10.61,1.5
240,230.0,15.11,2.5
241,50.0,11.98,2.15
242,65.0,13.21,1.85
243,93.0,14.25,2.5
244,0.0,5.67,4.7
245,495.0,8.89,5.0
246,607.0,8.38,3.0
247,376.0,8.91,5.7
248,447.0,8.66,3.7
249,270.0,7.14,7.7
250,210.0,7.97,6.3
251,50.0,6.62,2.0
252,10.0,9.5,1.0
253,50.0,6.76,1.0
254,45.0,8.21,7.0
255,80.0,8.04,6.0
256,30.0,7.46,7.0
257,0.0,10.43,5.0
258,45.0,8.56,5.0
259,55.0,8.3,6.0
260,130.0,5.5,1.0
261,170.0,5.9,1.0
262,190.0,6.76,1.0
263,130.0,8.4,1.0
264,130.0,8.65,1.0
265,240.0,6.86,1.0
266,190.0,6.12,2.0
267,170.0,7.23,1.6
268,1000.0,10.67,1.0
269,930.0,9.93,1.0
270,840.0,9.27,1.0
271,560.0,8.4,2.6
272,550.0,7.86,2.0
273,240.0,8.72,2.0
274,200.0,8.66,1.0
275,190.0,8.36,1.0
276,80.0,7.34,1.3
277,60.0,6.76,0.8
278,80.0,6.8,1.0
279,100.0,6.49,0.0
280,140.0,7.02,1.0
281,160.0,8.37,1.2
282,180.0,7.12,1.0
283,220.0,8.72,1.0
284,80.0,6.78,1.0
285,90.0,7.2,1.0
286,40.0,6.2,1.0
287,50.0,6.71,1.0
288,40.0,5.75,1.0
289,70.0,6.37,1.0
290,60.0,6.42,2.0
291,80.0,6.36,1.4
292,77.0,5.4,1.2
293,70.0,4.92,1.4
294,90.0,4.86,2.0
295,80.0,5.77,2.0
296,70.0,5.56,1.2
297,67.0,4.84,1.8
298,80.0,6.03,1.4
299,40.0,6.66,2.0
300,70.0,5.49,2.0
301,50.0,4.05,2.2
302,30.0,5.95,1.4
303,50.0,6.64,1.0
304,34.0,6.31,2.0
305,28.0,5.65,1.6
306,10.0,5.06,2.0
307,14.0,5.88,2.0
308,70.0,6.35,1.2
309,40.0,5.42,1.2
310,40.0,8.72,2.0
311,27.0,7.78,2.0
312,36.0,8.54,1.2
313,90.0,8.26,1.6
314,70.0,8.43,1.2
315,80.0,8.55,2.0
316,60.0,9.11,2.0
317,100.0,9.66,1.0
318,110.0,9.16,1.0
319,80.0,8.94,1.0
320,80.0,9.95,1.0
321,77.0,10.69,1.0
322,100.0,9.34,2.0
323,60.0,9.05,1.5
324,70.0,9.08,1.0
325,30.0,10.86,1.0
326,47.0,7.96,2.0
327,80.0,10.41,1.0
328,60.0,8.84,1.0
329,110.0,10.35,1.0
330,140.0,9.37,1.0
331,110.0,10.59,1.0
332,117.0,10.05,1.0
333,140.0,10.35,1.0
334,150.0,8.77,1.0
335,130.0,7.26,2.0
336,200.0,6.1,0.0
337,170.0,9.0,0.0
338,190.0,6.1,0.0
339,170.0,9.0,0.0
340,190.0,5.5,0.0
341,190.0,6.1,0.0
342,180.0,5.4,0.0
343,130.0,5.7,0.0
344,180.0,5.4,0.0
345,220.0,6.1,0.0
346,320.0,6.0,0.0
347,280.0,6.2,0.0
348,320.0,10.4,1.0
349,300.0,10.0,1.0
350,320.0,10.1,1.0
351,310.0,11.3,1.0
352,380.0,12.4,1.0
353,380.0,11.5,1.0
354,430.0,12.6,1.0
355,380.0,10.6,1.0
356,260.0,11.6,0.64
357,230.0,9.5,0.56
358,250.0,10.3,0.71
359,260.0,10.9,0.38
360,255.0,10.0,0.38
361,225.0,13.1,0.59
362,240.0,12.5,0.55
363,265.0,9.7,1.5
364,305.0,10.1,2.83
365,270.0,10.5,1.61
366,250.0,10.5,1.55
367,230.0,10.1,2.78
368,230.0,11.1,1.46
369,185.0,8.1,1.54
370,180.0,9.0,2.79
371,210.0,8.9,1.36
372,190.0,8.6,1.41
373,230.0,6.4,3.58
374,225.0,9.7,2.38
375,210.0,7.5,4.73
376,205.0,7.7,4.7
377,200.0,7.3,4.67
378,230.0,8.4,4.77
379,135.0,7.4,4.79
380,140.0,7.4,4.77
381,150.0,7.2,4.62
382,130.0,8.1,4.65
383,185.0,8.0,4.67
384,170.0,7.6,4.25
385,220.0,7.8,5.35
386,0.0,6.6,7.0
387,0.0,7.8,5.7
388,30.0,7.0,6.85
389,40.0,8.4,6.88
390,50.0,7.8,6.5
391,20.0,7.2,6.73
392,195.0,9.0,6.43
393,225.0,7.5,6.56
394,205.0,7.0,7.71
395,235.0,8.4,8.9
396,130.0,6.2,7.38
397,200.0,7.5,9.0
398,215.0,7.9,7.45
399,130.0,7.6,9.0
400,140.0,8.8,8.71
401,205.0,7.7,8.71
402,215.0,8.1,8.35
403,150.0,8.1,8.75
404,210.0,8.7,8.6
405,195.0,8.6,9.6
406,220.0,9.5,8.55
407,230.0,9.1,9.63
408,130.0,7.8,9.43
409,186.0,10.1,9.64
410,180.0,10.2,9.38
411,242.0,7.9,10.45
412,200.0,8.5,10.63
413,201.0,8.0,10.54
414,172.0,7.5,11.67
415,198.0,6.9,11.67
416,230.0,10.8,11.5
417,212.0,9.0,11.5
418,205.0,6.5,12.83
419,203.0,9.7,12.73
420,260.0,8.4,12.7
421,224.0,5.2,13.43
422,197.0,9.6,12.73
423,243.0,8.3,13.8
424,212.0,7.7,13.86
425,247.0,8.1,13.6
426,236.0,7.3,13.47
427,211.0,5.3,13.42
428,217.0,7.1,14.6
429,0.0,9.81,14.0
430,0.0,8.34,11.3
431,358.0,7.46,8.0
432,381.0,8.57,8.0
433,89.0,9.79,26.7
434,263.0,5.64,41.0
435,150.0,3.63,2.4
436,170.0,4.55,2.0
437,80.0,7.76,2.2
438,60.0,9.74,2.8
439,0.0,9.5,5.4
440,0.0,9.4,6.4
441,0.0,10.0,4.7
442,0.0,12.45,5.4
443,180.0,10.5,6.1
444,220.0,11.65,6.7
445,200.0,11.4,5.3
446,180.0,9.9,7.0
447,200.0,11.9,6.3
448,180.0,9.0,8.3
449,160.0,8.4,5.7
450,190.0,9.5,5.7
451,230.0,9.0,5.7
452,200.0,4.8,6.7
453,250.0,9.2,7.0
454,210.0,105.0,6.0
455,220.0,10.9,6.0
456,230.0,9.0,6.0
457,220.0,10.4,6.7
458,250.0,11.8,6.3
459,260.0,12.0,4.3
460,240.0,11.7,7.3
461,160.0,8.5,6.0
462,140.0,9.2,6.3
463,120.0,11.0,7.7
464,220.0,8.5,7.0
465,210.0,3.5,6.0
466,170.0,9.2,6.0
467,200.0,8.0,6.0
468,230.0,6.7,7.0
469,310.0,10.0,7.0
470,300.0,7.3,7.0
471,200.0,10.6,7.0
472,220.0,3.5,7.0
473,180.0,8.0,7.0
474,180.0,5.1,7.0
475,220.0,6.8,7.0
476,0.0,0.0,0.0
477,0.0,0.0,0.0
478,1170.0,13.0,2.0
479,1030.0,14.0,2.0
480,180.0,13.0,3.0
481,240.0,13.0,3.0
482,140.0,10.0,4.0
483,150.0,12.0,4.0
484,180.0,12.0,4.0
485,110.0,13.0,4.0
486,110.0,12.0,5.0
487,70.0,13.0,4.0
488,30.0,11.0,6.0
489,50.0,11.0,6.0
490,50.0,7.0,7.0
491,30.0,10.0,8.0
492,130.0,10.0,7.0
493,70.0,7.0,8.0
494,100.0,10.0,8.0
495,110.0,11.0,8.0
496,90.0,8.0,8.0
497,50.0,10.0,9.0
498,90.0,8.0,9.0
499,60.0,9.0,9.0
500,100.0,11.0,8.0
501,50.0,10.0,8.0
502,20.0,11.0,8.0
503,60.0,9.0,8.0
504,80.0,12.0,9.0
505,50.0,11.0,8.0
506,80.0,10.0,8.0
507,80.0,11.0,8.0
508,70.0,10.0,9.0
509,70.0,11.0,8.0
510,30.0,12.0,8.0
511,40.0,11.0,8.0
512,30.0,9.0,9.0
513,50.0,11.0,8.0
514,40.0,10.0,9.0
515,40.0,12.0,9.0
516,30.0,13.0,8.0
517,80.0,12.0,8.0
518,80.0,14.0,9.0
519,90.0,9.0,10.0
520,110.0,12.0,8.0
521,80.0,11.0,8.0
522,40.0,8.0,10.0
523,50.0,8.0,10.0
524,50.0,11.0,9.0
525,50.0,6.0,9.0
526,20.0,11.0,10.0
527,30.0,13.0,9.0
528,30.0,13.0,9.0
529,480.0,9.5,0.2
530,500.0,10.0,0.2
531,600.0,11.0,0.6
532,480.0,9.5,0.2
533,520.0,15.5,0.4
534,500.0,10.0,0.2
535,600.0,11.0,0.6
536,330.0,14.2,0.6
537,290.0,13.0,0.2
538,280.0,12.2,0.6
539,350.0,11.8,0.4
540,310.0,12.0,0.6
541,150.0,11.0,0.8
542,210.0,10.0,0.8
543,280.0,12.0,0.2
544,250.0,13.0,0.4
545,220.0,12.0,4.75
546,180.0,7.0,1.6
547,170.0,8.0,2.0
548,150.0,10.0,4.33
549,100.0,11.0,3.8
550,90.0,9.0,2.57
551,140.0,11.0,5.0
552,160.0,11.0,3.4
553,150.0,10.0,4.5
554,140.0,12.0,4.6
555,120.0,10.0,3.25
556,170.0,11.0,0.67
557,160.0,11.0,0.5
558,126.0,8.9,6.25
559,142.0,6.9,7.2
560,132.0,9.2,6.5
561,225.0,6.5,11.2
562,174.0,6.2,10.6
563,185.0,6.4,10.2
564,231.0,10.2,11.5
565,220.0,10.6,11.6
566,213.0,6.1,11.2
567,177.0,9.2,13.8
568,174.0,8.9,11.8
569,137.0,7.5,12.6
570,212.0,9.9,12.8
571,172.0,6.8,15.5
572,242.0,6.2,14.2
573,203.0,7.1,14.5
574,218.0,7.3,15.0
575,199.0,3.7,17.2
576,165.0,6.7,15.6
577,140.0,6.5,16.0
578,191.0,5.5,16.5
579,167.0,7.9,18.0
580,179.0,4.8,16.6
581,188.0,5.6,16.5
582,158.0,3.5,17.25
583,230.0,6.3,18.6
584,221.0,4.0,17.25
585,207.0,7.4,17.0
586,232.0,5.6,19.4
587,180.0,6.1,18.0
588,40.0,7.3,21.0
589,77.0,5.0,21.2
590,127.0,6.9,19.0
591,56.0,6.2,20.0
592,0.0,9.1,21.0
593,0.0,6.7,20.0
594,2210.0,14.1,4.6
595,270.0,14.5,4.67
596,430.0,12.7,4.75
597,250.0,11.1,4.5
598,350.0,12.3,4.5
599,160.0,9.6,5.75
600,180.0,15.2,4.0
601,190.0,11.9,5.0
602,180.0,8.8,6.0
603,250.0,12.5,5.5
604,340.0,10.5,5.5
605,280.0,9.7,6.71
606,220.0,9.1,6.5
607,220.0,6.9,6.6
608,110.0,7.8,7.0
609,200.0,8.2,6.83
610,210.0,10.9,7.67
611,230.0,9.7,6.4
612,260.0,8.6,7.6
613,220.0,6.4,8.67
614,200.0,7.8,8.0
615,200.0,10.2,7.43
616,230.0,7.2,9.75
617,120.0,7.6,8.5
618,160.0,8.3,8.0
619,70.0,4.7,9.0
620,200.0,8.2,8.67
621,260.0,8.3,8.0
622,160.0,8.3,10.0
623,160.0,8.7,8.6
624,200.0,8.1,9.6
625,130.0,5.5,8.25
626,260.0,7.2,9.0
627,400.0,8.0,10.28
628,200.0,6.3,8.0
629,160.0,9.2,10.75
630,140.0,6.6,9.33
631,180.0,9.2,10.75
632,130.0,10.6,9.57
633,220.0,0.6,14.57
634,240.0,1.0,13.33
635,320.0,1.2,16.42
636,260.0,0.7,14.83
637,210.0,1.0,16.0
638,190.0,0.9,14.5
639,240.0,1.1,18.0
640,230.0,0.6,14.5
641,220.0,0.6,15.25
642,200.0,0.7,15.5
643,260.0,0.9,17.5
644,190.0,0.5,15.5
645,230.0,0.7,16.16
646,220.0,0.8,15.25
647,220.0,0.8,18.4
648,150.0,0.6,15.4
649,200.0,0.6,19.6
650,110.0,0.6,16.4
651,210.0,5.3,19.5
652,170.0,5.4,16.37
653,160.0,7.0,16.6
654,130.0,6.5,19.5
655,140.0,6.1,17.8
656,220.0,5.2,19.33
657,170.0,7.7,17.2
658,360.0,4.6,19.6
659,360.0,5.7,18.6
660,370.0,8.2,22.0
661,260.0,6.2,18.66
662,210.0,6.9,20.0
663,220.0,11.7,22.0
664,170.0,5.1,20.25
665,5300.0,9.0,2.47
666,5160.0,9.1,1.87
667,4950.0,9.0,1.2
668,4900.0,9.7,1.2
669,5300.0,9.0,2.47
670,5160.0,9.1,1.87
671,4950.0,9.0,1.2
672,4900.0,9.7,1.2
673,270.0,7.2,6.55
674,265.0,5.4,5.2
675,330.0,5.0,5.3
676,300.0,6.7,6.5
677,290.0,5.3,7.7
678,270.0,4.5,7.0
679,300.0,7.8,5.7
680,290.0,4.3,8.7
681,220.0,7.2,6.4
682,205.0,7.3,6.9
683,250.0,3.1,8.43
684,290.0,6.1,7.67
685,210.0,7.0,9.59
686,170.0,4.1,9.46
687,180.0,7.3,8.59
688,190.0,7.8,7.44
689,230.0,4.5,10.38
690,220.0,5.7,10.48
691,175.0,8.3,9.32
692,175.0,8.2,9.53
693,190.0,6.3,11.5
694,200.0,5.4,9.33
695,185.0,6.5,9.52
696,0.0,7.1,11.33
697,0.0,5.6,12.67
698,0.0,7.7,10.53
699,0.0,7.9,9.39
700,0.0,7.0,0.0
701,0.0,7.4,0.0
702,0.0,7.5,0.0
703,0.0,6.6,14.0
704,0.0,8.9,0.0
705,0.0,7.4,0.0
706,0.0,8.1,0.0
707,0.0,8.4,0.0
708,0.0,7.4,0.0
709,0.0,8.9,0.0
710,0.0,9.1,0.0
711,0.0,8.0,0.0
712,0.0,8.9,0.0
713,0.0,9.7,0.0
714,0.0,9.0,0.0
715,0.0,8.4,0.0
716,0.0,9.4,0.0
717,0.0,9.1,0.0
718,0.0,9.0,0.0
719,0.0,9.8,0.0
720,0.0,9.1,0.0
721,730.0,6.8,1.46
722,760.0,7.5,1.5
723,710.0,8.5,1.75
724,720.0,8.5,1.6
725,223.0,9.6,1.38
726,209.0,9.8,2.25
727,215.0,9.2,2.35
728,240.0,7.6,2.38
729,210.0,11.1,1.37
730,203.0,10.8,2.38
731,211.0,10.7,3.36
732,176.0,12.3,2.41
733,232.0,10.9,2.33
734,212.0,5.7,4.52
735,257.0,6.7,4.35
736,221.0,5.4,4.4
737,256.0,9.0,5.33
738,0.0,0.0,0.0
739,0.0,0.0,0.0
740,0.0,0.0,0.0
741,0.0,0.0,0.0
742,53.0,2.03,0.0
743,36.0,2.04,0.0
744,117.0,3.49,0.0
745,139.0,5.1,0.0
746,137.0,5.04,0.0
747,134.0,3.9,0.0
748,323.0,10.15,2.2
749,896.0,12.14,2.43
750,346.0,11.01,2.13
751,912.0,11.23,2.13
752,375.0,6.88,5.25
753,453.0,8.13,5.33
754,398.0,8.42,5.4
755,2360.0,6.72,5.8
756,1760.0,14.48,4.33
757,1960.0,11.13,4.33
758,2005.0,7.5,8.0
759,1760.0,14.5,4.33
760,1960.0,11.1,4.33
761,166.0,12.1,5.5
762,219.0,7.8,5.66
763,180.0,6.7,6.33
764,165.0,8.8,6.33
765,125.0,11.3,6.67
766,49.0,6.7,5.22
767,190.0,8.8,7.71
768,150.0,7.8,8.17
769,75.0,8.2,6.38
770,148.0,6.0,8.75
771,124.0,8.7,7.17
772,105.0,9.1,7.33
773,244.0,7.3,8.5
774,158.0,8.1,8.75
775,168.0,9.4,8.25
776,118.0,9.7,6.0
777,257.0,10.3,8.38
778,126.0,9.2,9.83
