,생장길이,줄기직경,개화군
779,634.0,11.0,9.83
780,38.0,8.4,8.5
781,60.0,9.1,8.3
782,-35.0,7.6,9.3
783,390.0,9.3,10.54
784,-110.0,4.4,7.2
785,130.0,7.4,10.45
786,340.0,8.2,11.0
787,170.0,8.6,11.33
788,150.0,9.5,12.5
789,245.0,9.8,13.0
790,100.0,4.7,9.0
791,320.0,9.3,13.28
792,120.0,9.9,13.83
793,240.0,11.7,12.0
794,330.0,6.9,13.25
795,200.0,9.3,14.0
796,160.0,6.2,14.8
797,160.0,7.9,13.66
798,135.0,10.4,14.9
799,30.0,9.1,15.4
800,135.0,7.9,14.62
801,230.0,9.5,15.5
802,120.0,8.5,14.5
803,110.0,7.8,16.16
804,180.0,7.0,15.71
805,130.0,9.7,15.38
806,110.0,8.6,15.9
807,180.0,8.7,15.42
808,120.0,10.6,15.71
809,450.0,6.3,16.33
810,120.0,9.5,16.8
811,0.0,8.1,15.3
812,0.0,10.1,16.8
813,0.0,8.6,15.27
814,0.0,8.8,16.2
815,0.0,9.9,16.2
816,0.0,8.8,16.0
817,0.0,9.7,16.0
818,3100.0,8.0,0.0
819,3300.0,6.2,1.0
820,3400.0,7.4,0.0
821,2950.0,6.2,0.1
822,3100.0,8.0,0.0
823,3300.0,6.2,1.0
824,3400.0,7.4,0.0
825,2950.0,6.2,0.1
826,0.0,7.1,0.0
827,0.0,6.8,0.0
828,0.0,6.3,0.0
829,0.0,7.1,0.0
830,0.0,6.2,0.0
831,0.0,6.2,0.0
832,0.0,7.1,0.0
833,0.0,6.4,0.0
834,0.0,6.9,0.0
835,0.0,6.4,0.0
836,0.0,6.8,0.0
837,0.0,6.5,0.0
838,0.0,6.5,0.0
839,0.0,6.5,0.0
840,0.0,6.5,0.0
841,0.0,6.2,0.0
842,0.0,6.2,0.0
843,0.0,6.2,0.0
844,0.0,6.2,0.0
845,0.0,0.0,0.0
846,0.0,0.0,0.0
847,210.0,0.0,0.0
848,190.0,0.0,0.0
849,200.0,0.0,0.0
850,0.0,0.0,0.0
851,0.0,0.0,0.0
852,0.0,0.0,0.0
853,340.0,0.0,0.0
854,330.0,0.0,0.0
855,300.0,0.0,0.0
856,280.0,0.0,0.0
857,450.0,7.5,1.0
858,510.0,8.1,1.0
859,350.0,5.1,1.0
860,430.0,6.0,1.0
861,130.0,11.0,1.57
862,175.0,9.6,1.5
863,120.0,9.5,0.75
864,115.0,9.4,1.5
865,210.0,10.9,3.0
866,190.0,10.4,2.5
867,240.0,9.6,1.5
868,210.0,11.3,1.57
869,200.0,9.5,3.71
870,170.0,10.8,5.0
871,185.0,12.0,3.75
872,80.0,8.0,5.6
873,110.0,9.8,5.0
874,145.0,9.9,6.6
875,150.0,8.1,6.6
876,121.0,6.3,7.0
877,83.0,7.0,5.0
878,150.0,9.1,6.5
879,2250.0,7.1,7.0
880,2300.0,4.8,7.0
881,2450.0,4.7,7.67
882,40.0,7.2,7.0
883,60.0,4.9,8.75
884,60.0,6.5,8.33
885,64.0,7.7,6.5
886,108.0,5.2,5.5
887,63.0,7.9,0.5
888,48.0,5.6,0.57
889,12.0,6.6,0.25
890,0.0,8.98,12.0
891,0.0,4.94,11.17
892,240.0,8.53,12.0
893,420.0,7.07,12.0
894,510.0,10.37,12.4
895,240.0,8.08,12.17
896,40.0,7.29,12.17
897,350.0,5.39,12.0
898,410.0,6.72,12.17
899,230.0,11.96,13.6
900,130.0,8.64,14.67
901,190.0,9.73,14.75
902,160.0,12.22,14.29
903,200.0,8.96,15.33
904,250.0,12.36,15.25
905,150.0,11.77,15.29
906,290.0,9.64,15.33
907,160.0,10.99,16.33
908,400.0,9.54,16.67
909,60.0,9.27,16.17
910,270.0,9.31,17.14
911,70.0,11.7,16.14
912,240.0,10.84,17.25
913,220.0,7.13,18.17
914,230.0,11.51,18.2
915,210.0,10.07,18.17
916,240.0,9.29,18.29
917,260.0,9.94,19.29
918,240.0,7.36,19.14
919,90.0,5.27,20.14
920,85.0,8.45,20.33
921,105.0,5.71,21.33
922,110.0,10.85,20.5
923,140.0,8.78,20.29
924,195.0,4.79,21.33
925,180.0,8.52,22.0
926,135.0,8.38,21.33
927,290.0,9.42,23.17
928,190.0,6.79,22.3
929,300.0,10.41,23.33
930,390.0,6.11,24.17
931,270.0,11.22,24.33
932,200.0,8.79,25.5
933,260.0,9.47,26.67
934,230.0,9.58,25.67
935,255.0,9.35,26.33
936,0.0,0.0,0.0
937,245.0,7.94,27.4
938,230.0,7.67,26.33
939,180.0,5.28,29.2
940,60.0,4.21,0.0
941,50.0,6.55,0.0
942,1930.0,13.47,3.75
943,1930.0,13.5,3.75
944,2110.0,13.9,4.29
945,2190.0,9.7,4.14
946,270.0,13.5,5.0
947,254.0,10.4,5.1
948,258.0,14.0,5.0
949,276.0,15.2,5.0
950,210.0,11.1,6.0
951,235.0,10.7,6.0
952,245.0,13.5,6.0
953,257.0,15.7,6.0
954,250.0,9.9,6.67
955,260.0,12.9,7.0
956,272.0,11.9,7.0
957,240.0,10.7,8.0
958,225.0,15.4,7.0
959,200.0,11.1,7.17
960,250.0,11.3,8.29
961,290.0,11.3,7.33
962,222.0,12.3,8.0
963,252.0,8.4,9.14
964,258.0,14.0,8.08
965,230.0,10.6,8.43
966,280.0,12.3,8.43
967,183.0,11.1,10.0
968,248.0,13.0,9.0
969,244.0,12.9,10.17
970,256.0,13.7,9.13
971,180.0,12.6,9.57
972,256.0,11.8,10.17
973,245.0,13.8,11.14
974,250.0,11.0,10.2
975,173.0,15.7,10.29
976,208.0,10.5,12.14
977,210.0,13.3,10.6
978,165.0,9.2,11.17
979,257.0,13.5,11.5
980,234.0,15.3,12.33
981,245.0,12.0,11.17
982,193.0,14.6,11.67
983,206.0,13.7,12.38
984,227.0,12.2,13.0
985,185.0,11.2,12.29
986,173.0,13.7,13.0
987,195.0,13.0,14.0
988,180.0,13.5,12.67
989,160.0,13.9,13.2
990,262.0,12.2,14.33
991,249.0,14.0,15.33
992,255.0,12.2,14.0
993,190.0,13.4,14.11
994,223.0,12.0,15.08
995,197.0,11.8,16.1
996,230.0,12.4,14.67
997,188.0,12.4,15.0
998,272.0,11.9,16.0
999,250.0,11.7,17.0
1000,286.0,13.0,16.0
1001,263.0,0.0,0.0
1002,248.0,0.0,0.0
1003,333.0,0.0,0.0
1004,263.0,10.6,17.33
1005,248.0,12.4,17.33
1006,333.0,11.8,17.0
1007,260.0,12.9,19.29
1008,292.0,10.5,18.25
1009,224.0,11.0,19.0
1010,272.0,13.2,20.0
1011,242.0,13.1,21.0
1012,303.0,12.8,20.0
1013,271.0,12.3,21.0
1014,240.0,12.5,21.67
1015,205.0,9.7,20.5
1016,212.0,12.7,21.38
1017,206.0,13.8,22.13
1018,182.0,11.2,20.75
1019,202.0,11.6,20.25
1020,193.0,10.5,22.43
1021,231.0,13.3,23.5
1022,230.0,9.3,22.14
1023,200.0,12.6,22.0
1024,225.0,12.9,23.43
1025,245.0,12.3,24.5
1026,212.0,11.3,23.0
1027,233.0,13.6,22.5
1028,0.0,0.0,24.75
1029,0.0,0.0,23.83
1030,0.0,0.0,23.8
1031,0.0,0.0,24.0
1032,0.0,0.0,24.0
1033,0.0,0.0,25.0
1034,0.0,0.0,24.0
1035,0.0,0.0,24.0
1036,0.0,0.0,25.0
1037,0.0,0.0,24.0
1038,0.0,0.0,24.0
1039,0.0,0.0,25.0
1040,0.0,0.0,24.0
1041,0.0,0.0,0.0
1042,0.0,0.0,0.0
1043,0.0,0.0,0.0
1044,0.0,0.0,0.0
1045,60.0,16.0,3.15
1046,75.0,12.4,3.21
1047,80.0,12.3,3.33
1048,14.0,13.7,4.12
1049,15.0,11.9,3.23
1050,19.0,12.6,4.15
1051,0.0,10.9,2.23
1052,0.0,18.9,2.26
1053,0.0,16.7,2.22
1054,0.0,7.2,3.32
1055,95.0,9.7,3.32
1056,110.0,12.8,3.26
1057,97.0,10.5,4.31
1058,145.0,9.2,4.19
1059,130.0,11.2,4.21
1060,144.0,7.2,5.24
1061,32.0,7.4,4.26
1062,48.0,7.8,4.28
1063,53.0,5.1,4.21
1064,102.0,8.1,5.26
1065,12.0,7.3,4.26
1066,21.0,8.3,5.19
1067,50.0,5.2,4.14
1068,26.0,10.8,5.17
1069,25.0,5.1,4.1
1070,34.0,5.0,5.18
1071,15.0,6.4,5.8
1072,0.0,8.1,5.0
1073,50.0,7.4,6.4
1074,60.0,9.4,5.0
1075,50.0,12.2,4.33
1076,20.0,5.7,6.67
1077,40.0,10.1,6.4
1078,70.0,11.1,4.14
1079,55.0,5.2,6.5
1080,90.0,7.7,6.2
1081,80.0,7.2,7.0
1082,125.0,7.9,6.17
1083,65.0,6.4,8.0
1084,50.0,7.3,8.25
1085,120.0,10.9,7.6
1086,105.0,7.4,8.63
1087,115.0,8.0,6.0
1088,50.0,4.7,8.33
1089,110.0,7.0,9.0
1090,115.0,6.5,8.0
1091,0.0,5.6,8.0
1092,145.0,7.2,8.17
1093,150.0,7.0,9.0
1094,100.0,7.2,8.13
1095,20.0,5.8,8.2
1096,135.0,4.3,8.33
1097,105.0,8.32,10.75
1098,110.0,7.0,8.0
1099,50.0,8.2,8.57
1100,65.0,9.4,10.67
1101,0.0,9.6,4.0
1102,120.0,8.5,9.5
1103,34.0,8.7,8.67
1104,72.0,9.0,10.7
1105,0.0,9.6,4.0
1106,90.0,7.2,9.0
1107,51.0,7.6,8.73
1108,55.0,9.2,11.2
1109,0.0,9.3,5.0
1110,85.0,8.2,10.41
1111,60.0,4.5,3.0
1112,60.0,4.2,4.0
1113,20.0,7.7,2.0
1114,20.0,5.8,2.0
1115,0.0,4.3,2.0
1116,0.0,20.21,2.0
1117,0.0,21.05,3.2
1118,0.0,23.05,4.5
1119,185.0,10.16,2.5
1120,280.0,11.92,3.25
1121,250.0,11.12,2.5
1122,190.0,13.24,2.0
1123,189.0,8.05,1.75
1124,183.0,14.25,2.0
1125,145.0,10.24,2.25
1126,250.0,10.2,3.5
1127,190.0,8.8,2.25
1128,325.0,10.89,1.0
1129,280.0,14.53,1.0
1130,285.0,18.22,2.0
1131,170.0,5.66,1.0
1132,253.0,9.92,1.0
1133,0.0,9.43,1.5
1134,0.0,6.17,0.0
1135,0.0,9.29,1.0
1136,0.0,6.37,1.75
1137,0.0,7.08,0.0
1138,0.0,9.26,0.0
1139,0.0,9.34,0.0
1140,0.0,7.73,0.0
1141,0.0,8.69,0.0
1142,0.0,8.68,0.0
1143,0.0,9.93,0.0
1144,0.0,5.99,0.0
1145,0.0,8.52,0.0
1146,150.0,5.7,8.25
1147,130.0,9.9,7.0
1148,70.0,7.25,7.66
1149,150.0,6.11,8.8
1150,70.0,8.75,7.0
1151,60.0,7.17,8.0
1152,170.0,5.8,18.0
1153,100.0,7.68,18.0
1154,100.0,12.0,0.0
1155,120.0,13.1,3.0
1156,150.0,14.0,2.0
1157,170.0,15.0,1.0
1158,20.0,12.2,0.0
1159,50.0,14.2,3.0
1160,30.0,15.0,1.0
1161,20.0,12.1,2.0
1162,100.0,10.3,0.0
1163,150.0,8.3,0.0
1164,170.0,4.9,0.0
1165,140.0,13.3,2.0
1166,80.0,11.3,3.0
1167,140.0,12.3,1.0
1168,120.0,14.1,2.0
1169,130.0,14.6,5.0
1170,100.0,13.2,5.0
1171,50.0,11.5,8.0
1172,70.0,4.2,3.0
1173,70.0,7.2,5.0
1174,80.0,3.9,7.0
1175,70.0,3.0,5.0
1176,60.0,4.2,5.0
1177,40.0,5.4,7.0
1178,60.0,3.8,3.0
1179,60.0,3.9,4.0
1180,60.0,4.3,8.0
1181,50.0,4.6,6.0
1182,30.0,4.3,4.0
1183,40.0,4.2,3.0
1184,50.0,3.8,4.0
1185,90.0,4.6,3.0
1186,100.0,4.2,4.0
1187,70.0,4.3,3.0
1188,120.0,4.5,4.0
1189,100.0,4.2,2.0
1190,80.0,3.9,3.0
1191,100.0,4.5,4.0
1192,70.0,4.4,7.0
1193,100.0,3.5,4.0
1194,70.0,3.8,7.0
1195,0.0,3.4,1.0
1196,0.0,4.2,2.0
1197,0.0,3.7,2.0
1198,0.0,4.5,3.0
1199,0.0,7.3,0.0
1200,0.0,4.5,0.0
1201,0.0,5.2,0.0
1202,0.0,8.4,0.0
1203,0.0,4.9,0.0
1204,0.0,12.1,0.0
1205,0.0,5.7,0.0
1206,0.0,6.5,0.0
1207,0.0,7.2,0.0
1208,0.0,6.7,0.0
1209,0.0,8.2,0.0
1210,0.0,8.4,0.0
1211,100.0,9.02,2.67
1212,150.0,9.89,1.27
1213,130.0,8.46,1.33
1214,0.0,87.0,6.3
1215,0.0,66.0,6.0
1216,0.0,68.0,5.0
1217,0.0,83.0,7.3
1218,0.0,11.0,9.5
1219,0.0,10.5,9.5
1220,0.0,9.8,9.33
1221,0.0,11.0,9.33
1222,173.0,11.84,20.8
1223,220.0,9.49,22.4
1224,280.0,12.3,20.5
1225,109.0,18.01,22.17
1226,168.0,12.3,21.67
1227,3960.0,11.64,10.5
1228,3955.0,12.09,9.4
1229,3935.0,12.68,8.33
1230,3900.0,12.02,9.33
1231,130.0,10.47,9.4
1232,145.0,12.2,8.6
1233,145.0,13.36,9.38
1234,180.0,9.0,11.6
1235,180.0,10.0,10.33
1236,190.0,10.0,9.67
1237,180.0,8.0,11.0
1238,170.0,9.0,11.67
1239,180.0,8.0,11.0
1240,190.0,8.0,11.67
1241,240.0,12.32,6.8
1242,135.0,11.3,6.5
1243,180.0,13.6,7.17
1244,160.0,12.62,7.33
1245,95.0,14.46,7.25
1246,85.0,14.92,7.5
1247,90.0,14.38,6.5
1248,0.0,14.3,7.3
1249,0.0,12.6,7.6
1250,0.0,8.4,7.0
1251,145.0,117.0,8.33
1252,180.0,10.2,7.66
1253,50.0,120.0,8.0
1254,141.0,13.1,5.6
1255,152.0,11.9,5.5
1256,142.0,10.0,6.5
1257,150.0,10.5,6.6
1258,294.0,9.9,9.4
1259,237.0,12.5,8.6
1260,127.0,10.5,9.4
1261,141.0,5.7,11.2
1262,223.0,10.2,11.4
1263,205.0,11.6,10.6
1264,201.0,11.1,11.6
1265,211.0,10.8,11.4
1266,196.0,6.2,15.5
1267,202.0,6.6,14.5
1268,178.0,4.5,15.2
1269,205.0,5.8,15.2
1270,211.0,7.5,16.4
1271,217.0,9.6,15.25
1272,236.0,6.2,16.75
1273,180.0,5.6,17.6
1274,166.0,4.2,17.25
1275,194.0,4.3,18.4
1276,257.0,4.8,18.25
1277,175.0,6.6,19.0
1278,204.0,8.1,18.0
1279,173.0,6.8,18.0
1280,202.0,7.5,18.8
1281,173.0,5.6,19.67
1282,185.0,7.2,18.75
1283,232.0,8.9,18.33
1284,162.0,4.4,20.4
1285,257.0,6.5,19.75
1286,247.0,8.3,21.0
1287,225.0,4.6,20.4
1288,115.0,5.7,21.0
1289,87.0,4.4,21.2
1290,112.0,5.8,21.7
1291,2274.0,7.6,8.5
1292,2585.0,8.2,7.25
1293,2668.0,7.5,8.25
1294,284.0,7.1,9.0
1295,151.0,8.3,8.75
1296,254.0,6.5,8.25
1297,224.0,7.6,8.75
1298,202.0,8.9,10.0
1299,169.0,7.3,10.2
1300,127.0,9.9,10.33
1301,0.0,3.17,0.3
1302,0.0,3.04,0.0
1303,0.0,3.23,0.2
1304,340.0,1.91,0.0
1305,160.0,6.19,0.18
1306,115.0,6.82,0.42
1307,95.0,5.41,1.09
1308,100.0,9.73,0.55
1309,105.0,5.78,1.0
1310,110.0,8.35,0.42
1311,115.0,8.4,1.38
1312,160.0,8.44,1.23
1313,105.0,8.99,1.33
1314,120.0,11.45,1.3
1315,145.0,8.4,2.17
1316,100.0,11.45,1.42
1317,170.0,8.14,2.31
1318,175.0,7.39,3.25
1319,170.0,8.09,3.17
1320,60.0,6.04,4.13
1321,110.0,9.98,3.33
1322,190.0,11.36,4.31
1323,60.0,11.04,3.38
1324,40.0,8.4,4.33
1325,200.0,8.5,4.27
1326,90.0,6.9,5.33
1327,180.0,9.89,5.39
1328,150.0,7.3,5.35
1329,170.0,4.3,6.07
1330,180.0,5.0,6.33
1331,0.0,8.56,9.5
1332,0.0,10.69,9.4
1333,182.0,94.3,9.5
1334,194.0,6.5,9.5
1335,202.0,10.6,10.5
1336,214.0,7.02,11.3
1337,0.0,9.84,11.4
1338,0.0,11.01,2.3
1339,0.0,15.0,1.5
1340,0.0,14.65,1.8
1341,290.0,9.81,3.4
1342,305.0,6.45,3.1
1343,290.0,12.49,2.6
1344,0.0,10.13,4.4
1345,0.0,5.9,4.1
1346,0.0,7.71,6.7
1347,0.0,9.21,6.5
1348,0.0,8.52,6.2
1349,0.0,10.09,5.5
1350,0.0,6.58,9.4
1351,0.0,6.55,8.4
1352,0.0,6.72,8.5
1353,0.0,5.43,8.4
1354,0.0,7.35,12.2
1355,0.0,6.54,9.3
1356,0.0,8.41,12.3
1357,0.0,7.2,9.0
1358,0.0,6.67,9.1
1359,0.0,7.09,9.0
1360,0.0,5.67,11.1
1361,0.0,8.08,9.1
1362,0.0,7.52,9.0
1363,0.0,5.84,12.0
1364,0.0,6.8,9.0
1365,0.0,7.31,9.0
1366,0.0,6.03,12.0
1367,0.0,7.04,9.0
1368,64.0,9.1,0.0
1369,77.0,7.9,8.67
1370,149.0,4.9,9.6
1371,120.0,4.8,17.5
1372,90.0,4.6,19.5
1373,110.0,6.0,17.6
1374,145.0,5.6,18.4
1375,120.0,3.1,20.0
1376,105.0,7.9,19.0
1377,170.0,10.9,16.6
1378,180.0,6.5,16.5
1379,160.0,7.8,16.3
1380,145.0,7.4,14.7
1381,120.0,9.2,15.0
1382,260.0,4.7,14.2
1383,140.0,13.6,14.5
1384,185.0,4.8,19.4
1385,190.0,6.2,20.0
1386,165.0,7.3,19.8
1387,200.0,7.6,17.0
1388,90.0,8.3,21.0
1389,90.0,5.4,21.0
1390,75.0,6.8,21.0
1391,110.0,5.3,18.4
1392,200.0,10.9,5.3
1393,160.0,10.6,5.4
1394,180.0,12.2,6.3
1395,290.0,8.7,6.3
1396,240.0,10.6,6.2
1397,225.0,6.1,7.6
1398,230.0,8.7,7.7
1399,220.0,10.2,7.5
1400,110.0,5.9,7.2
1401,190.0,9.4,7.5
1402,190.0,7.3,7.2
1403,245.0,8.6,9.5
1404,255.0,8.3,9.8
1405,215.0,5.9,10.6
1406,325.0,8.3,10.9
1407,335.0,7.4,10.7
1408,160.0,4.5,14.5
1409,130.0,8.5,14.8
1410,180.0,13.9,14.7
1411,155.0,7.0,15.5
1412,170.0,6.8,15.6
1413,225.0,6.0,17.0
1414,95.0,17.9,17.0
1415,200.0,11.01,8.33
1416,270.0,10.87,8.33
1417,177.0,11.21,9.66
1418,230.0,12.19,9.33
1419,207.0,8.76,10.25
1420,213.0,11.03,9.25
1421,280.0,12.13,10.5
1422,223.0,11.1,12.0
1423,287.0,15.46,10.4
1424,200.0,7.73,12.25
1425,158.0,16.17,10.4
1426,210.0,10.61,11.6
1427,264.0,9.07,12.5
1428,210.0,10.25,12.25
1429,232.0,10.6,11.33
1430,250.0,7.38,12.25
1431,210.0,8.32,13.25
1432,190.0,9.28,13.5
1433,200.0,10.86,12.5
1434,0.0,9.33,12.75
1435,230.0,9.75,13.2
1436,190.0,10.01,13.25
1437,210.0,11.94,12.25
1438,0.0,11.81,13.4
1439,0.0,9.99,14.0
1440,0.0,12.66,12.4
1441,0.0,12.35,14.0
1442,0.0,11.24,14.0
1443,0.0,10.5,13.0
1444,0.0,10.28,14.0
1445,0.0,13.13,13.0
1446,0.0,10.77,13.0
1447,0.0,13.36,14.0
1448,0.0,11.14,14.0
1449,0.0,10.62,13.0
1450,0.0,12.35,13.0
1451,0.0,13.84,2.33
1452,0.0,13.09,2.33
1453,0.0,11.47,2.33
1454,245.0,9.47,1.0
1455,220.0,6.48,0.0
1456,140.0,7.18,0.5
1457,260.0,9.88,1.25
1458,240.0,9.14,1.0
1459,155.0,4.42,1.5
1460,285.0,13.8,1.5
1461,140.0,11.24,3.0
1462,150.0,7.59,0.75
1463,70.0,5.89,0.5
1464,160.0,7.09,2.0
1465,280.0,9.74,0.75
1466,170.0,8.63,2.0
1467,177.0,6.39,1.0
1468,185.0,9.6,1.75
1469,200.0,8.39,1.75
1470,140.0,6.57,2.0
1471,222.0,7.68,2.0
1472,0.0,6.52,0.0
1473,0.0,9.06,0.0
1474,0.0,11.64,0.0
1475,0.0,3.19,0.0
1476,0.0,3.64,0.0
1477,0.0,3.63,0.0
1478,0.0,4.09,0.0
1479,100.0,4.5,0.0
1480,100.0,4.38,0.25
1481,170.0,8.74,0.5
1482,130.0,8.1,0.66
1483,160.0,9.71,0.5
1484,160.0,8.54,0.5
1485,130.0,8.46,0.5
1486,310.0,8.94,1.0
1487,130.0,9.2,1.0
1488,170.0,8.89,0.66
1489,0.0,10.0,17.33
1490,0.0,10.0,18.67
1491,0.0,11.0,20.0
1492,0.0,10.0,21.0
1493,0.0,11.0,20.43
1494,0.0,11.0,18.2
1495,0.0,10.0,21.4
1496,0.0,11.0,0.0
1497,0.0,11.0,19.0
1498,0.0,10.0,0.0
1499,160.0,0.0,0.0
1500,140.0,0.0,0.0
1501,177.5,9.44,8.86
1502,187.5,9.4,8.86
1503,187.5,9.4,8.86
1504,172.5,8.49,8.9
1505,172.5,8.49,8.9
1506,172.5,8.49,8.9
1507,150.0,7.61,7.0
1508,80.0,3.27,7.0
1509,120.0,8.24,7.0
1510,50.0,5.07,7.0
1511,100.0,5.13,7.5
1512,80.0,4.85,6.75
1513,150.0,6.95,2.2
1514,140.0,10.13,1.4
1515,200.0,9.61,1.4
1516,210.0,8.47,2.2
1517,150.0,9.16,3.2
